"INICIO_SINTOMAS","CASOS","CUM_CASOS","DADOS"
2020-02-26,1,1,"Atuais"
2020-02-29,1,2,"Atuais"
2020-03-01,1,3,"Atuais"
2020-03-04,3,6,"Atuais"
2020-03-06,1,7,"Atuais"
2020-03-07,3,10,"Atuais"
2020-03-08,6,16,"Atuais"
2020-03-09,5,21,"Atuais"
2020-03-10,5,26,"Atuais"
2020-03-11,3,29,"Atuais"
2020-03-12,6,35,"Atuais"
2020-03-13,13,48,"Atuais"
2020-03-14,14,62,"Atuais"
2020-03-15,25,87,"Atuais"
2020-03-16,28,115,"Atuais"
2020-03-17,25,140,"Atuais"
2020-03-18,14,154,"Atuais"
2020-03-19,21,175,"Atuais"
2020-03-20,27,202,"Atuais"
2020-03-21,9,211,"Atuais"
2020-03-22,13,224,"Atuais"
2020-03-23,13,237,"Atuais"
2020-03-24,9,246,"Atuais"
2020-03-25,10,256,"Atuais"
2020-03-26,12,268,"Atuais"
2020-03-27,13,281,"Atuais"
2020-03-28,10,291,"Atuais"
2020-03-29,11,302,"Atuais"
2020-03-30,9,311,"Atuais"
2020-03-31,5,316,"Atuais"
2020-04-01,19,335,"Atuais"
2020-04-02,8,343,"Atuais"
2020-04-03,6,349,"Atuais"
2020-04-04,9,358,"Atuais"
2020-04-05,8,366,"Atuais"
2020-04-06,11,377,"Atuais"
2020-04-07,6,383,"Atuais"
2020-04-08,13,396,"Atuais"
2020-04-09,3,399,"Atuais"
2020-04-10,10,409,"Atuais"
2020-04-11,7,416,"Atuais"
2020-04-12,6,422,"Atuais"
2020-04-13,9,431,"Atuais"
2020-04-14,4,435,"Atuais"
2020-04-15,9,444,"Atuais"
2020-04-16,5,449,"Atuais"
2020-04-17,3,452,"Atuais"
2020-04-18,9,461,"Atuais"
2020-04-19,7,468,"Atuais"
2020-04-20,18,486,"Atuais"
2020-04-21,11,497,"Atuais"
2020-04-22,10,507,"Atuais"
2020-04-23,7,514,"Atuais"
2020-04-24,4,518,"Atuais"
2020-04-25,5,523,"Atuais"
2020-04-26,6,529,"Atuais"
2020-04-27,5,534,"Atuais"
2020-04-28,7,541,"Atuais"
2020-04-29,3,544,"Atuais"
2020-04-30,3,547,"Atuais"
2020-05-01,6,553,"Atuais"
2020-05-02,2,555,"Atuais"
2020-05-03,2,557,"Atuais"
2020-05-04,10,567,"Atuais"
2020-05-05,21,588,"Atuais"
2020-05-06,9,597,"Atuais"
2020-05-07,3,600,"Atuais"
2020-05-08,12,612,"Atuais"
2020-05-09,4,616,"Atuais"
2020-05-10,3,619,"Atuais"
2020-05-11,4,623,"Atuais"
2020-05-12,12,635,"Atuais"
2020-05-13,17,652,"Atuais"
2020-05-14,9,661,"Atuais"
2020-05-15,8,669,"Atuais"
2020-05-16,2,671,"Atuais"
2020-05-17,3,674,"Atuais"
2020-05-18,7,681,"Atuais"
2020-05-19,7,688,"Atuais"
2020-05-20,10,698,"Atuais"
2020-05-21,5,703,"Atuais"
